iter	Logloss
0	0.5491418318
1	0.444674764
2	0.383308011
3	0.3324015653
4	0.3013421164
5	0.2767492547
6	0.2604462357
7	0.246635548
8	0.2353303596
9	0.2285959639
10	0.2249308723
11	0.2207400989
12	0.2164902146
13	0.2145482413
14	0.2113253477
15	0.2073160488
16	0.2050660476
17	0.2018917831
18	0.199910704
19	0.1981532719
20	0.1959417366
21	0.1949355981
22	0.1937096441
23	0.1934468432
24	0.1919940762
25	0.1916562823
26	0.1879624237
27	0.1872770027
28	0.1870760247
29	0.1869697783
30	0.1867020699
31	0.1866031282
32	0.1858909682
33	0.1857745723
34	0.1855780429
35	0.1854630831
36	0.1850489737
37	0.1847194391
38	0.1846309106
39	0.1845857856
40	0.18451252
41	0.184167603
42	0.1841549801
43	0.1831554867
44	0.1830844624
45	0.182200221
46	0.1821115163
47	0.1820199547
48	0.181836445
49	0.1812759246
50	0.1810260802
51	0.1809743356
52	0.1809050729
53	0.1808626491
54	0.1806582256
55	0.1804035859
56	0.1804035839
57	0.1803923266
58	0.1803923097
59	0.1803078358
60	0.1803023051
61	0.1779035812
62	0.1778681554
63	0.1778006795
64	0.1777686495
65	0.1775028226
66	0.1772997381
67	0.1771898891
68	0.1771743395
69	0.1771340998
70	0.1768541047
71	0.1767649016
72	0.1767482635
73	0.1766752122
74	0.1764960356
75	0.1764738372
76	0.1764459207
77	0.1764459174
78	0.1764373195
79	0.1763026842
80	0.1761268763
81	0.175768956
82	0.175662707
83	0.1756574394
84	0.1756508856
85	0.1752447014
86	0.175107554
87	0.1750554529
88	0.174095499
89	0.1740654245
90	0.1740512479
91	0.1737459115
92	0.173691977
93	0.1736791035
94	0.1736790892
95	0.1736429049
96	0.1733743702
97	0.1733034927
98	0.1730963267
99	0.1729186377
100	0.1726173607
101	0.1725867473
102	0.1724513015
103	0.1722797165
104	0.1722691192
105	0.172261791
106	0.1722580993
107	0.1722580985
108	0.1719027571
109	0.1718388586
110	0.1716407741
111	0.171603855
112	0.1716038545
113	0.1714334641
114	0.1713139342
115	0.1708958228
116	0.1708210608
117	0.1707538913
118	0.1705641574
119	0.1703961683
120	0.1703961665
121	0.1703961648
122	0.1701579169
123	0.170112215
124	0.1701122127
125	0.1697344337
126	0.1691696411
127	0.1691373067
128	0.1688327093
129	0.1685090032
130	0.1682170487
131	0.167979086
132	0.1676917795
133	0.1674272585
134	0.167190736
135	0.1669537297
136	0.1667308163
137	0.1665501992
138	0.1662722685
139	0.166049254
140	0.1656104547
141	0.1651509042
142	0.1648176571
143	0.1646191756
144	0.1644366213
145	0.1640979405
146	0.1638943724
147	0.1637282207
148	0.1635350885
149	0.1632543497
150	0.1629283092
151	0.1625776534
152	0.1623605229
153	0.1621303011
154	0.16183072
155	0.1616229395
156	0.1613858969
157	0.1611060248
158	0.1609586084
159	0.160781138
160	0.1604074452
161	0.1601025754
162	0.1598730744
163	0.1596588887
164	0.1594315405
165	0.1592464798
166	0.1590692553
167	0.158834043
168	0.158652975
169	0.1584612567
170	0.1582183923
171	0.1580025838
172	0.1576706542
173	0.1575276518
174	0.1572678856
175	0.1569899263
176	0.1567276861
177	0.1565906026
178	0.1564060239
179	0.1561342353
180	0.1559724464
181	0.1557008826
182	0.1555670372
183	0.1553574598
184	0.1550908604
185	0.1548509803
186	0.1546900574
187	0.1544496721
188	0.1541738037
189	0.1539825532
190	0.1537533231
191	0.1535817424
192	0.1534485939
193	0.1531889033
194	0.1529819369
195	0.1528303574
196	0.1527912759
197	0.1526454564
198	0.1525554129
199	0.1523828993
200	0.152154532
201	0.1518850945
202	0.1516733479
203	0.1514992835
204	0.1513903331
205	0.1510703919
206	0.1508799513
207	0.1506689085
208	0.1504845936
209	0.1502740144
210	0.1500808145
211	0.1498331852
212	0.1497198131
213	0.1495664124
214	0.1493613852
215	0.1491214821
216	0.1483631974
217	0.1480948283
218	0.1478611851
219	0.1476346971
220	0.1474176334
221	0.1472394621
222	0.1469863107
223	0.1467582984
224	0.1466055654
225	0.1464892599
226	0.1462631714
227	0.1460169341
228	0.1458348934
229	0.1456671735
230	0.1455878552
231	0.1453404888
232	0.1451511004
233	0.1448488307
234	0.1444742874
235	0.1442707002
236	0.1441169254
237	0.1440129197
238	0.143866148
239	0.1437401071
240	0.1435689057
241	0.1433865227
242	0.1432428822
243	0.1429672643
244	0.1426927036
245	0.1426178402
246	0.1424373934
247	0.1421797163
248	0.1419382864
249	0.1417009791
250	0.1415096669
251	0.141325841
252	0.1410914548
253	0.1409614962
254	0.1407567387
255	0.1405669637
256	0.1404651358
257	0.1402477138
258	0.1400928458
259	0.1398470727
260	0.1397040172
261	0.1394894308
262	0.1393257896
263	0.1391624042
264	0.138985331
265	0.1388786406
266	0.1387551297
267	0.1386136165
268	0.1384596244
269	0.1382711298
270	0.1381415258
271	0.1378842329
272	0.1377319101
273	0.1375278577
274	0.1372573808
275	0.1372054548
276	0.1370222952
277	0.1368319657
278	0.1366568798
279	0.1364371396
280	0.1361925161
281	0.1359985034
282	0.1359088756
283	0.1356674333
284	0.1354036885
285	0.1353152595
286	0.1351254557
287	0.1348930824
288	0.1346885475
289	0.134498126
290	0.1342225466
291	0.134033451
292	0.1337795229
293	0.1336102777
294	0.1334575477
295	0.1333411341
296	0.1331614046
297	0.1330079146
298	0.1328281972
299	0.1327049031
