iter	Logloss
0	0.6612239614
1	0.6287290193
2	0.6001001217
3	0.5751317744
4	0.5496476985
5	0.526178349
6	0.5065984589
7	0.4860121016
8	0.4684187836
9	0.4514388051
10	0.4352877471
11	0.4211248874
12	0.4072304049
13	0.3939415934
14	0.3804529161
15	0.3679006704
16	0.3584599251
17	0.3482291759
18	0.3385419443
19	0.3291201677
20	0.3207279579
21	0.3130001532
22	0.3065329698
23	0.3002476393
24	0.2938657194
25	0.2879866261
26	0.282528086
27	0.2771071611
28	0.2715326224
29	0.2666238924
30	0.2614276336
31	0.2568764343
32	0.2525229021
33	0.2483962605
34	0.2441452987
35	0.2406787796
36	0.2373828928
37	0.234751807
38	0.2321530053
39	0.2293176848
40	0.2266965303
41	0.2241850037
42	0.2218697089
43	0.2195140859
44	0.217177153
45	0.2149429225
46	0.2133318227
47	0.21127694
48	0.2096856882
49	0.2080181047
50	0.2058767694
51	0.2044781934
52	0.2032227565
53	0.201905395
54	0.2005315634
55	0.1990502874
56	0.1976200338
57	0.1964494265
58	0.1953297043
59	0.1940757429
60	0.1930461716
61	0.1919483913
62	0.1912030185
63	0.1902146814
64	0.189302309
65	0.1882945048
66	0.1874910962
67	0.1869319703
68	0.1862983543
69	0.1855103772
70	0.1847260573
71	0.183949211
72	0.1832852159
73	0.1825749287
74	0.1815764094
75	0.1812763917
76	0.180470712
77	0.1794614304
78	0.1790182309
79	0.1785709003
80	0.1781661263
81	0.1776109472
82	0.1770973003
83	0.1765955283
84	0.1764541465
85	0.1759945714
86	0.1755689925
87	0.1752591799
88	0.1744425759
89	0.1738651479
90	0.1734615601
91	0.1730454686
92	0.1726364122
93	0.1725923043
94	0.1723234944
95	0.1720122203
96	0.1715623792
97	0.1711974735
98	0.1709948708
99	0.1707855486
100	0.1705622347
101	0.1703695838
102	0.1702209779
103	0.1698493883
104	0.1695184337
105	0.1690806579
106	0.1687261834
107	0.1684788729
108	0.1683555654
109	0.1680160944
110	0.1678634265
111	0.1676237978
112	0.1673650228
113	0.1670949889
114	0.1668448189
115	0.1667073916
116	0.1666314915
117	0.1664501373
118	0.1664031654
119	0.1659107113
120	0.1657949053
121	0.1656086265
122	0.1655936123
123	0.1654067876
124	0.1653079106
125	0.1650767051
126	0.1649595056
127	0.1648974871
128	0.164726477
129	0.1646012121
130	0.164522919
131	0.1643643839
132	0.1641546516
133	0.1641218738
134	0.1639266411
135	0.1637962671
136	0.1637524615
137	0.1636094453
138	0.163574364
139	0.1634920839
140	0.163330907
141	0.1632476161
142	0.1631859693
143	0.1631524415
144	0.1631283363
145	0.1630584598
146	0.1626433337
147	0.1624530115
148	0.1624160505
149	0.1623565144
150	0.1622965471
151	0.1622016681
152	0.1621080897
153	0.16201989
154	0.1619163912
155	0.1618882911
156	0.1617977732
157	0.1616299856
158	0.1616148438
159	0.1615770282
160	0.1615525135
161	0.1614229058
162	0.1613763818
163	0.1613241187
164	0.1612720829
165	0.1609678142
166	0.160950464
167	0.1608464925
168	0.1607859419
169	0.1603736602
170	0.1603281347
171	0.1602596008
172	0.1601454147
173	0.1601000526
174	0.1600198882
175	0.159969613
176	0.1599103532
177	0.1598754102
178	0.1598529929
179	0.1598404368
180	0.1598264067
181	0.1597851074
182	0.1597286045
183	0.1596442565
184	0.1595947992
185	0.1594958403
186	0.1593961834
187	0.159383299
188	0.159279511
189	0.1592511517
190	0.1592477101
191	0.159155039
192	0.1591429343
193	0.1591351479
194	0.1591172366
195	0.1590518401
196	0.1589562327
197	0.1588979281
198	0.1588190063
199	0.1587367202
200	0.1586382731
201	0.1586254297
202	0.158530901
203	0.1585046129
204	0.1584926276
205	0.1584841639
206	0.1583559421
207	0.1583225081
208	0.1582973665
209	0.1582967505
210	0.1582961589
211	0.1582865351
212	0.1582753401
213	0.1582683889
214	0.1582594936
215	0.1582055881
216	0.158155926
217	0.1580785771
218	0.1579705314
219	0.1578761664
220	0.1577128003
221	0.1576393234
222	0.1576089163
223	0.1575802934
